time_s,distance_m,body_angle_deg,wheel_angle_deg,head_pitch_target_deg
2.3666666666666667,0.9442580319139722,213.0,1127.125,0.0
2.4,0.9575574408141689,216.0,1143.0,0.0
2.433333333333333,0.9708568497143657,219.0,1158.875,0.0
2.466666666666667,0.9841562586145626,222.0,1174.75,0.0
2.5,0.9974556675147593,225.0,1190.625,0.0
2.533333333333333,1.010755076414956,228.0,1206.4999999999998,0.0
2.566666666666667,1.024054485315153,231.00000000000003,1222.375,0.0
2.6,1.0373538942153497,234.0,1238.25,0.0
2.6333333333333333,1.0506533031155465,237.00000000000003,1254.125,0.0
2.6666666666666665,1.0639527120157433,239.99999999999997,1270.0,0.0
2.7,1.07725212091594,243.0,1285.875,0.0
2.7333333333333334,1.090551529816137,246.00000000000003,1301.7500000000002,0.0
2.7666666666666666,1.1038509387163336,248.99999999999997,1317.6249999999998,0.0
2.8,1.1171503476165305,252.0,1333.5,0.0
2.8333333333333335,1.1304497565167273,255.00000000000003,1349.375,0.0
2.8666666666666667,1.143749165416924,258.0,1365.25,0.0
2.9,1.1570485743171208,261.0,1381.125,0.0
2.933333333333333,1.1703479832173174,263.99999999999994,1396.9999999999995,0.0
2.966666666666667,1.1836473921175146,267.00000000000006,1412.8750000000002,0.0
3.0,1.1969468010177111,270.0,1428.7499999999998,0.0
3.033333333333333,1.2102462099179079,272.99999999999994,1444.6249999999998,0.0
3.066666666666667,1.2235456188181049,276.00000000000006,1460.5,0.0
3.1,1.2368450277183016,279.0,1476.375,0.0
3.1333333333333333,1.2501444366184984,282.0,1492.25,0.0
3.1666666666666665,1.2634438455186952,285.0,1508.125,0.0
3.2,1.276743254418892,288.0,1523.9999999999998,0.0
3.2333333333333334,1.290042663319089,291.0,1539.8750000000002,0.0
3.2666666666666666,1.3033420722192854,294.0,1555.7499999999998,0.0
