slope_deg,longitudinal_accel_mps2,speed_mps,turn_radius_m,yaw_rate_radps,lateral_accel_mps2,required_uphill_force_n,motor_torque_each_nm,continuous_torque_safety_factor,traction_safety_factor,resultant_lean_deg,inner_wheel_speed_mps,outer_wheel_speed_mps,head_combined_load_n,magnetic_retention_safety_factor,pass,check_continuous_torque,check_wheel_shell_traction,check_resultant_lean,check_wheel_speed,check_magnetic_head_combined_shock
1.0,0.7,0.3,0.8,0.37499999999999994,0.11249999999999998,10.42197057508203,0.347399019169401,1.7271205930130273,10.746528134303283,5.119111932474829,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,False,False,True,True,True,True
1.5,0.0,0.3,0.8,0.37499999999999994,0.11249999999999998,4.661478416425485,0.1553826138808495,3.861435877633594,24.02671212749792,1.6376472394639348,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
1.5,0.1,0.3,0.8,0.37499999999999994,0.11249999999999998,5.587778416425485,0.1862592805475162,3.221315996906448,20.043743980751238,2.1849643651147823,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
1.5,0.2,0.3,0.8,0.37499999999999994,0.11249999999999998,6.514078416425486,0.2171359472141829,2.763245826855928,17.193529589325777,2.74693467649153,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
1.5,0.3,0.3,0.8,0.37499999999999994,0.11249999999999998,7.440378416425485,0.24801261388084953,2.419231790719534,15.052997808921548,3.3157705976666874,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
1.5,0.4,0.3,0.8,0.37499999999999994,0.11249999999999998,8.366678416425486,0.2788892805475162,2.1513914009964035,13.386435383977624,3.8880936608891195,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
1.5,0.5,0.3,0.8,0.37499999999999994,0.11249999999999998,9.292978416425486,0.3097659472141829,1.9369462828176502,12.052110204198714,4.462181644548044,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,False,False,True,True,True,True
1.5,0.6,0.3,0.8,0.37499999999999994,0.11249999999999998,10.219278416425485,0.3406426138808495,1.761376808275282,10.959677918157311,5.037040326387305,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,False,False,True,True,True,True
1.5,0.7,0.3,0.8,0.37499999999999994,0.11249999999999998,11.145578416425485,0.3715192805475162,1.6149902075493003,10.048827958084537,5.612034852261004,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,False,False,True,True,True,True
2.0,0.0,0.3,0.8,0.37499999999999994,0.11249999999999998,5.384731268139882,0.17949104227132942,3.3427852020214135,20.79955236813324,2.1051868584985085,0.241875,0.35812499999999997,17.190680617788097,2.326842135535338,True,True,True,True,True,True
